ISO-MCMS J005716.5-731052 00 57 16.50 -73 10 52.8 X0017 55111.1123     fits/xsl_spectrum_X0017_merged_ncl.fits 
HV 12149                  00 58 50.17 -72 18 35.6 X0759 56504.3474 UVB fits/xsl_spectrum_X0759_merged_ncl.fits     
[M2002] SMC 46662         00 59 35.01 -72 04 06.4 X0005 55110.1348     fits/xsl_spectrum_X0005_merged.fits 
HD 5857                   01 00 15.73 +18 11 56.4 X0526 56232.0789     fits/xsl_spectrum_X0526_merged.fits 
ISO-MCMS J010031.5-730724 01 00 31.51 -73 07 23.7 X0018 55111.1241     fits/xsl_spectrum_X0018_merged_ncl.fits 
CL* NGC 371 FTW R20       01 00 41.53 -72 10 36.9 X0041 55119.1289     fits/xsl_spectrum_X0041_merged.fits 
CL* NGC 371 LE 31         01 01 45.39 -72 07 56.7 X0505 56212.2344     fits/xsl_spectrum_X0505_merged_ncl.fits 
[M2002] SMC 52334         01 01 54.19 -71 52 18.6 X0006 55110.1461     fits/xsl_spectrum_X0006_merged.fits 
[M2002] SMC 55188         01 03 02.46 -72 01 53.0 X0004 55110.1274     fits/xsl_spectrum_X0004_merged.fits 
HD 6268                   01 03 18.17 -27 52 49.9 X0733 56463.4046     fits/xsl_spectrum_X0733_merged.fits 
HD 6229                   01 03 36.46 +23 46 06.3 X0007 55110.1543     fits/xsl_spectrum_X0007_merged.fits 
SV* HV 1963               01 04 26.63 -72 34 40.2 X0511 56213.1647     fits/xsl_spectrum_X0511_merged.fits 
SV* HV 12179              01 05 01.77 -72 06 56.3 X0514 56213.2183     fits/xsl_spectrum_X0514_merged.fits 
CL* NGC 419 LE 35         01 08 17.49 -72 53 01.3 X0513 56213.1976     fits/xsl_spectrum_X0513_merged_ncl.fits      C-star with contamination by nearby hotter star below 450 nm
CL* NGC 419 LE 27         01 08 20.67 -72 52 52.0 X0512 56213.1825     fits/xsl_spectrum_X0512_merged_ncl.fits 
BBB SMC 148               01 09 17.88 -72 45 42.0 X0506 56212.2515     fits/xsl_spectrum_X0506_merged.fits 
BBB SMC 104               01 10 29.46 -72 49 34.5 X0504 56212.2064     fits/xsl_spectrum_X0504_merged.fits 
HD 7595                   01 15 29.53 -28 15 53.5 X0508 56212.2783     fits/xsl_spectrum_X0508_merged.fits 
U Psc                     01 22 58.48 +12 52 03.8 X0527 56232.0943     fits/xsl_spectrum_X0527_merged.fits 
HD 8724                   01 26 17.59 +17 07 35.1 X0077 55176.0501     fits/xsl_spectrum_X0077_merged.fits 
HD 8724                   01 26 17.59 +17 07 35.1 X0092 55202.0446     fits/xsl_spectrum_X0092_merged.fits 
HD 9051                   01 28 46.50 -24 20 25.4 X0768 56553.2062     fits/xsl_spectrum_X0768_merged.fits 
HD 9051                   01 28 46.50 -24 20 25.4 X0769 56553.2129     fits/xsl_spectrum_X0769_merged.fits 
[M2002] SMC 83593         01 30 33.97 -73 18 41.6 X0021 55112.0988     fits/xsl_spectrum_X0021_merged.fits 
HD 9356                   01 32 08.17 +01 20 30.2 X0770 56553.2276     fits/xsl_spectrum_X0770_merged.fits 
HD 9356                   01 32 08.17 +01 20 30.2 X0775 56554.2110     fits/xsl_spectrum_X0775_merged.fits 
HE 0146-1548              01 48 34.72 -15 33 24.4 X0760 56506.3594     fits/xsl_spectrum_X0760_merged.fits 
HD 11397                  01 51 40.53 -16 19 03.5 X0778 56554.2258     fits/xsl_spectrum_X0778_merged.fits          Artifacts in K-band (NIR arm)
HD 13043                  02 07 34.27 -00 37 02.7 X0203 55408.3049     fits/xsl_spectrum_X0203_merged.fits 
HD 13043                  02 07 34.27 -00 37 02.7 X0281 55457.3902     fits/xsl_spectrum_X0281_merged.fits 
HD 14625                  02 21 40.43 -00 08 55.0 X0559 56278.0963     fits/xsl_spectrum_X0559_merged.fits 
HD 14938                  02 24 23.31 -03 06 14.5 X0529 56232.2158     fits/xsl_spectrum_X0529_merged.fits 
HD 16031                  02 34 11.06 -12 23 03.4 X0065 55162.0429     fits/xsl_spectrum_X0065_merged.fits 
HD 16160                  02 36 04.90 +06 53 12.4 X0066 55162.0573     fits/xsl_spectrum_X0066_merged_scl.fits 
HD 16232                  02 36 57.74 +24 38 53.0 X0793 56579.2607     fits/xsl_spectrum_X0793_merged.fits 
HD 16456                  02 37 05.76 -42 57 48.0 X0782 56555.3017     fits/xsl_spectrum_X0782_merged.fits 
HD 16673                  02 40 12.42 -09 27 10.3 X0791 56579.2357     fits/xsl_spectrum_X0791_merged.fits 
HD 17072                  02 40 40.10 -69 13 58.8 X0042 55119.1377     fits/xsl_spectrum_X0042_merged_scl.fits 
HD 17072                  02 40 40.10 -69 13 58.8 X0089 55201.0247     fits/xsl_spectrum_X0089_merged.fits 
BD+09 0352                02 41 13.64 +09 46 12.1 X0795 56579.2731     fits/xsl_spectrum_X0795_merged.fits 
GJ 109                    02 44 15.51 +25 31 24.1 X0792 56579.2481     fits/xsl_spectrum_X0792_merged.fits 
HD 18907                  03 01 37.63 -28 05 29.3 X0043 55119.1940     fits/xsl_spectrum_X0043_merged_scl.fits 
HD 18769                  03 01 54.14 +26 27 44.4 X0073 55162.1075     fits/xsl_spectrum_X0073_merged.fits 
HD 19019                  03 03 50.82 +06 07 59.8 X0071 55162.0896     fits/xsl_spectrum_X0071_merged.fits 
HD 19304                  03 06 25.58 +03 15 52.2 X0545 56262.1616     fits/xsl_spectrum_X0545_merged.fits 
HD 19445                  03 08 25.59 +26 19 51.4 X0070 55162.0764     fits/xsl_spectrum_X0070_merged.fits 
HD 19787                  03 11 37.76 +19 43 36.0 X0084 55180.0732     fits/xsl_spectrum_X0084_merged_scl.fits 
HD 20619                  03 19 01.89 -02 50 35.4 X0546 56262.1764     fits/xsl_spectrum_X0546_merged.fits 
HD 21197                  03 24 59.73 -05 21 49.5 X0560 56278.1024     fits/xsl_spectrum_X0560_merged.fits 
HD 23924                  03 49 40.92 +23 20 29.6 X0794 56579.2661     fits/xsl_spectrum_X0794_merged.fits 
HD 24616                  03 53 59.46 -23 08 13.4 X0423 56143.3222     fits/xsl_spectrum_X0423_merged.fits 
HD 25329                  04 03 15.00 +35 16 23.8 X0075 55162.1658     fits/xsl_spectrum_X0075_merged.fits 
HD 25532                  04 04 11.01 +23 24 27.1 X0547 56262.1824     fits/xsl_spectrum_X0547_merged.fits 
HD 25673                  04 04 20.30 -04 39 18.5 X0561 56278.1169     fits/xsl_spectrum_X0561_merged.fits 
HD 26297                  04 09 03.42 -15 53 27.0 X0548 56262.1927     fits/xsl_spectrum_X0548_merged.fits 
BD+06 0648                04 13 13.11 +06 36 01.7 X0549 56262.2035     fits/xsl_spectrum_X0549_merged.fits 
HD 284248                 04 14 35.52 +22 21 04.2 X0072 55162.0980     fits/xsl_spectrum_X0072_merged.fits 
HD 27295                  04 19 26.10 +21 08 32.3 X0081 55178.2016     fits/xsl_spectrum_X0081_merged_scl.fits 
HD 27295                  04 19 26.10 +21 08 32.3 X0313 55526.0858     fits/xsl_spectrum_X0313_merged.fits 
HD 27771                  04 23 32.33 +14 40 13.7 X0558 56278.0901     fits/xsl_spectrum_X0558_merged.fits 
HD 28978                  04 34 08.27 +05 34 07.0 X0074 55162.1154     fits/xsl_spectrum_X0074_merged.fits 
HD 29391                  04 37 36.13 -02 28 24.7 X0082 55178.2177     fits/xsl_spectrum_X0082_merged_scl.fits 
HD 29391                  04 37 36.13 -02 28 24.7 X0306 55474.2264     fits/xsl_spectrum_X0306_merged_scl.fits 
HD 29391                  04 37 36.13 -02 28 24.7 X0311 55508.2472     fits/xsl_spectrum_X0311_merged_scl.fits 
HD 30328                  04 46 44.91 +02 42 02.1 X0772 56553.3881     fits/xsl_spectrum_X0772_merged.fits 
T Cae                     04 47 18.92 -36 12 33.5 X0052 55142.1935 NIR fits/xsl_spectrum_X0052_merged_ncl_ncge.fits 
SHV 0448341-691510        04 48 20.18 -69 10 02.4 X0783 56561.3061     fits/xsl_spectrum_X0783_merged.fits 
SHV 0448341-691510        04 48 20.18 -69 10 02.4 X0784 56561.3310 NIR fits/xsl_spectrum_X0784_merged_ncl.fits      
SHV 0448341-691510        04 48 20.18 -69 10 02.4 X0785 56561.3486     fits/xsl_spectrum_X0785_merged_ncl_ncge.fits 
HD 30743                  04 49 42.24 -13 46 10.8 X0796 56579.2819     fits/xsl_spectrum_X0796_merged.fits 
SHV 0452361-683928        04 52 26.47 -68 34 37.4 X0045 55119.2283     fits/xsl_spectrum_X0045_merged_ncl.fits 
SHV 0452361-683928        04 52 26.47 -68 34 37.4 X0181 55407.3863     fits/xsl_spectrum_X0181_merged_ncl.fits 
SHV 0452361-683928        04 52 26.47 -68 34 37.4 X0259 55439.3062     fits/xsl_spectrum_X0259_merged_ncl.fits 
EY Eri                    04 52 57.25 -10 01 58.8 X0577 56293.1983     fits/xsl_spectrum_X0577_merged_ncl_ncge.fits 
HD 31421                  04 56 22.28 +13 30 52.0 X0094 55202.0631     fits/xsl_spectrum_X0094_merged_scl.fits 
HV 2255                   04 57 43.30 -70 08 50.4 X0044 55119.2037     fits/xsl_spectrum_X0044_merged.fits 
HV 2255                   04 57 43.30 -70 08 50.4 X0205 55408.3725     fits/xsl_spectrum_X0205_merged.fits 
HV 2255                   04 57 43.30 -70 08 50.4 X0260 55439.3157     fits/xsl_spectrum_X0260_merged.fits 
SHV 0500412-684054        05 00 29.74 -68 36 37.3 X0515 56213.2883     fits/xsl_spectrum_X0515_merged.fits 
SHV 0501215-680112        05 01 15.35 -67 56 58.6 X0046 55119.2367     fits/xsl_spectrum_X0046_merged_ncl.fits 
SHV 0501215-680112        05 01 15.35 -67 56 58.6 X0182 55407.3917     fits/xsl_spectrum_X0182_merged_ncl.fits 
SHV 0501215-680112        05 01 15.35 -67 56 58.6 X0261 55439.3210     fits/xsl_spectrum_X0261_merged_ncl.fits 
SHV 0502469-692418        05 02 28.89 -69 20 09.8 X0516 56213.3118 UVB fits/xsl_spectrum_X0516_merged.fits         
SHV 0503595-691915        05 03 42.14 -69 15 12.1 X0053 55142.2079     fits/xsl_spectrum_X0053_merged_ncl_ncge.fits 
SHV 0503595-691915        05 03 42.14 -69 15 12.1 X0262 55439.3313     fits/xsl_spectrum_X0262_merged_ncl.fits 
SHV 0504353-712622        05 03 55.97 -71 22 22.0 X0047 55119.2564     fits/xsl_spectrum_X0047_merged_ncl.fits 
SHV 0506368-681557        05 06 27.68 -68 12 03.6 X0048 55119.2671     fits/xsl_spectrum_X0048_merged_ncl.fits 
SHV 0506368-681557        05 06 27.68 -68 12 03.6 X0184 55407.4250     fits/xsl_spectrum_X0184_merged_ncl.fits 
SHV 0506368-681557        05 06 27.68 -68 12 03.6 X0264 55439.3859     fits/xsl_spectrum_X0264_merged_ncl.fits 
HD 271018                 05 07 14.18 -66 03 18.4 X0518 56213.3487     fits/xsl_spectrum_X0518_merged.fits 
SHV 0510004-692755        05 09 40.54 -69 24 16.6 X0049 55119.2765     fits/xsl_spectrum_X0049_merged_ncl.fits 
SHV 0510004-692755        05 09 40.54 -69 24 16.6 X0237 55423.3932     fits/xsl_spectrum_X0237_merged_ncl_ncge.fits A few artificial waves in the VIS arm, as for X0144
HD 33299                  05 10 34.98 +30 47 51.1 X0110 55235.0092     fits/xsl_spectrum_X0110_merged_scl.fits 
[PHS2008] RGB 512         05 10 57.03 -71 11 34.2 X0206 55408.3893     fits/xsl_spectrum_X0206_merged.fits 
[PHS2008] RGB 522         05 11 22.58 -71 07 27.7 X0263 55439.3486     fits/xsl_spectrum_X0263_merged_scl.fits 
HD 33793                  05 11 40.58 -45 01 06.2 X0540 56260.2430     fits/xsl_spectrum_X0540_merged.fits 
